Nota;;;;;;;;;;;;;;;;;Item;;;;;;;;;;;;;;;;;;;;;ICMS;;;;;;;;;;;;;;;;;;;;;;;
Chave Acesso;Serie;Numero;Data Emissao;Hora Emissao;Situacao;UF Emitente;Documento Emitente;IE Emitente;UF Destinatario;Documento Destinatario;IE Destinatario;Fone Destinatario;Email Destinatario;Tipo Operacao;Natureza Operacao;Numero Item;Codigo Produto;Codigo EAN;Descricao Produto;Codigo NCM;EXTIPI;CFOP;Unidade Comercial;Quantidade Comercial;Valor Unitario Comercializacao;Valor Produto;Codigo EAN Unidade Tributavel;Unidade Tributavel;Quantidade Tributavel;Valor Unitario de Tributacao;Valor Frete;Valor Seguro;Valor Desconto;Outras Despesas Acessorias;Compoe Valor Total;Informacoes Adicionais do Produto;Grupo de Tributacao;Origem Mercadoria;Tributacao ICMS;Codigo Situacao Operacao;Modalidade BC;% Reducao BC;Valor BC;Aliquota Imposto;Valor ICMS;Motivo Desoneracao;Modalidade BC ICMS ST;% Margem Valor Adic. ICMS ST;% Reducao ICMS ST;Valor BC ICMS ST;Aliquota Imposto ICMS ST;Valor ICMS ST;Valor BC ICMS ST Retido;Valor ICMS ST Retido;Valor BC ICMS ST Ret. Destino;Valor ICMS ST Ret. Destino;Aliquota Credito;Valor Credito;% BC;UF ICMS ST
="26140940891707000150550010000000031000000037";="1";="3";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="7";="99900000000106";="9000000001060";="CAFE OURO VERDE 20X250GR";="09012100";="";="5102";="FD";1,0000;57,0000;57,00;="9000000001060";="FD";1,0000;57,0000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;57,00;17,00%;9,69;;="";;;;;;;;;;;;;
="26140940891707000150550010000000031000000037";="1";="3";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="8";="99900000000372";="9000000003729";="TALCO BARLA 80G";="25262000";="";="5102";="UN";6,0000;3,0000;18,00;="9000000003729";="UN";6,0000;3,0000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;18,00;17,00%;3,06;;="";;;;;;;;;;;;;
="26140940891707000150550010000000041000000042";="1";="4";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="04797315000162";="035262249";="8137352224";="";="1";="Venda para Cliente";="1";="99900000000418";="9000000004184";="LAGARTO FAVORITO 01X30KG";="02102000";="";="5102";="CX";1,0000;570,0000;570,00;="9000000004184";="CX";1,0000;570,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000041000000042";="1";="4";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="04797315000162";="035262249";="8137352224";="";="1";="Venda para Cliente";="2";="99900000000182";="9000000001824";="CUPIM BIG 1X30KG";="02102000";="";="5102";="CX";1,0000;515,0000;515,00;="9000000001824";="CX";1,0000;515,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000051000000058";="1";="5";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="10600376000190";="037597256";="8199214510";="";="1";="Venda para Cliente";="1";="99900000000182";="9000000001824";="CUPIM BIG 1X30KG";="02102000";="";="5102";="CX";1,0000;515,0000;515,00;="9000000001824";="CX";1,0000;515,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000051000000058";="1";="5";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="10600376000190";="037597256";="8199214510";="";="1";="Venda para Cliente";="2";="99900000000705";="9000000007055";="P.A ABSOLUTO 1X30KG";="02102000";="";="5102";="FD";2,0000;390,0000;780,00;="9000000007055";="FD";2,0000;390,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000051000000058";="1";="5";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="10600376000190";="037597256";="8199214510";="";="1";="Venda para Cliente";="3";="99900000000153";="9000000001534";="2 PELOS GMA 1X30KG";="02102000";="";="5102";="CX";2,0000;480,0000;960,00;="9000000001534";="CX";2,0000;480,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000061000000063";="1";="6";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="1";="99900000001180";="9000000011809";="PAPEL HIG. BRASILEIRO 12X04 30MT";="48181000";="";="5102";="FD";3,0000;13,3000;39,90;="9000000011809";="FD";3,0000;13,3000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000061000000063";="1";="6";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="2";="99900000000159";="9000000001596";="MARGARINA DELINE 24X250GR";="15171000";="";="5102";="CX";3,0000;25,9000;77,70;="9000000001596";="CX";3,0000;25,9000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;77,70;17,00%;13,21;;="";;;;;;;;;;;;;
="26140940891707000150550010000000061000000063";="1";="6";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="3";="99900000000160";="9000000001602";="MARGARINA DELINE 12X500GR";="15171000";="";="5102";="CX";3,0000;25,9000;77,70;="9000000001602";="CX";3,0000;25,9000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;77,70;17,00%;13,21;;="";;;;;;;;;;;;;
="26140940891707000150550010000000061000000063";="1";="6";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="4";="99900000000106";="9000000001060";="CAFE OURO VERDE 20X250GR";="09012100";="";="5102";="FD";1,0000;57,0000;57,00;="9000000001060";="FD";1,0000;57,0000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;57,00;17,00%;9,69;;="";;;;;;;;;;;;;
="26140940891707000150550010000000061000000063";="1";="6";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="5";="99900000000893";="9000000008939";="MOLHO P. MARATA MADEIRA 12X340GR";="21069021";="";="5102";="CX";1,0000;14,9000;14,90;="9000000008939";="CX";1,0000;14,9000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;14,90;17,00%;2,53;;="";;;;;;;;;;;;;
="26140940891707000150550010000000061000000063";="1";="6";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="6";="99900000001114";="9000000011144";="PITU LITRO S/ RETORNO 12X01LT";="22084000";="";="5102";="CX";2,0000;49,0000;98,00;="9000000011144";="CX";2,0000;49,0000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000071000000079";="1";="7";11/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="19623350000132";="056294204";="8196463093";="";="1";="Venda para Cliente";="1";="99900000000158";="9000000001589";="FIGADO BOVINO PURO 01X10KG";="02032200";="";="5102";="PC";1,0000;105,0000;105,00;="9000000001589";="PC";1,0000;105,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="1";="99900000000091";="9000000000919";="ACUCAR PITANGUEIRA 30X01KG";="17019900";="";="5102";="FD";5,0000;40,5000;202,50;="9000000000919";="FD";5,0000;40,5000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;202,50;17,00%;34,42;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="2";="99900000001180";="9000000011809";="PAPEL HIG. BRASILEIRO 12X04 30MT";="48181000";="";="5102";="FD";2,0000;13,4000;26,80;="9000000011809";="FD";2,0000;13,4000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="3";="99900000001213";="9000000012134";="MACARRAO VIT NINHO/SEMOLA 20X500GR";="84681000";="";="5102";="CX";1,0000;43,9000;43,90;="9000000012134";="CX";1,0000;43,9000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="4";="99900000001419";="9000000014190";="BISC VIT CROCKS INT 20X400GR";="19059020";="";="5102";="CX";1,0000;42,9000;42,90;="9000000014190";="CX";1,0000;42,9000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="5";="99900000001421";="9000000014213";="BISC VIT CROCKS PAO ASSADO 20X400GR";="19059020";="";="5102";="CX";1,0000;42,9000;42,90;="9000000014213";="CX";1,0000;42,9000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="6";="99900000001418";="9000000014183";="BISC. MAIZENA VIT. CHOCOLATE 20X400GR";="19053100";="";="5102";="CX";1,0000;42,9000;42,90;="9000000014183";="CX";1,0000;42,9000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="7";="99900000001185";="9000000011854";="BISC. MAIZENA VIT. TRAD. 20X400GR";="19053100";="";="5102";="CX";1,0000;42,9000;42,90;="9000000011854";="CX";1,0000;42,9000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="8";="99900000001424";="9000000014244";="BISC. MAIZENA VIT. LEITE 20X400GR";="19053100";="";="5102";="CX";1,0000;42,9000;42,90;="9000000014244";="CX";1,0000;42,9000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="9";="99900000000237";="9000000002371";="BISCOITOS SORT. MERENDA 12X400GR";="19053100";="";="5102";="CX";1,0000;30,7000;30,70;="9000000002371";="CX";1,0000;30,7000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="10";="99900000000927";="9000000009271";="BISCOITO SAL IACIL 10X330GR";="19053100";="";="5102";="CX";1,0000;16,7000;16,70;="9000000009271";="CX";1,0000;16,7000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="11";="99900000000926";="9000000009264";="BISCOITO DOCE IACIL 10X330GR";="19053100";="";="5102";="CX";1,0000;16,7000;16,70;="9000000009264";="CX";1,0000;16,7000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="12";="99900000001366";="9000000013667";="BISCOITO SALGADO IRON 10X350GR";="19053100";="";="5102";="CX";1,0000;16,4000;16,40;="9000000013667";="CX";1,0000;16,4000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="13";="99900000001145";="9000000011458";="GOIABADA POPULAR 12X600GR";="20079990";="";="5102";="CX";1,0000;24,0000;24,00;="9000000011458";="CX";1,0000;24,0000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;24,00;17,00%;4,08;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="14";="99900000001344";="9000000013445";="CATCHUP PRAEIRA 12X770GR";="21032010";="";="5102";="CX";1,0000;26,4000;26,40;="9000000013445";="CX";1,0000;26,4000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;26,40;17,00%;4,49;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="15";="99900000001364";="9000000013643";="BISCOITO CHAMPANGNE IRON 10X300GR";="19053100";="";="5102";="CX";1,0000;26,4000;26,40;="9000000013643";="CX";1,0000;26,4000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;26,40;17,00%;4,49;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="16";="99900000001294";="9000000012943";="MAC. INST. NOSSO SABOR CARNE 25X01";="19023000";="";="5102";="CX";2,0000;13,2000;26,40;="9000000012943";="CX";2,0000;13,2000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="17";="99900000001295";="9000000012950";="MAC. INST. NOSSO SABOR G.CAIPIRA 25X01";="19023000";="";="5102";="CX";2,0000;13,2000;26,40;="9000000012950";="CX";2,0000;13,2000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="18";="99900000000269";="9000000002692";="SABAO NEUTRO ESPUMIL 50X200G";="34011900";="";="5102";="CX";2,0000;24,9000;49,80;="9000000002692";="CX";2,0000;24,9000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="19";="99900000001137";="9000000011373";="AMAC. ASTOLLI LAVANDA 12X500ML";="38099190";="";="5102";="CX";1,0000;16,4000;16,40;="9000000011373";="CX";1,0000;16,4000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;16,40;17,00%;2,79;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="20";="99900000000762";="9000000007628";="FRALDA LILLICA POP M 01X20 C/08UND";="96190000";="";="5102";="FD";1,0000;48,9000;48,90;="9000000007628";="FD";1,0000;48,9000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000081000000084";="1";="8";15/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="20809410000195";="058785515";="8199219373";="";="1";="Venda para Cliente";="21";="99900000000763";="9000000007635";="FRALDA LILLICA POP G 01X20 C/07UND";="96190000";="";="5102";="FD";1,0000;48,9000;48,90;="9000000007635";="FD";1,0000;48,9000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
