IE;TOKEN;CONT;SOMA
"006854028";"contatocompraspe@gmail.com";11;751.214,72
"006854028";"cosme@gmail.com";5;10.591,90
"006854028";"davi.wilson56@gmail.com";1;1.121,66
"006854028";"delfasementes@hotmail.com";1;47.527,38
"006854028";"dhdhdh@hdhdhd.com.br";1;9.246,00
"006854028";"drmacedo2007@hotmail.com";2;12.019,80
"006854028";"eduardobdantas@hotmail.com";1;9.246,00
"006854028";"eliane_malta1966@hotmail.com";5;37.530,00
"006854028";"fatgs@hotmail.com";1;9.056,40
"006854028";"financeiro.jracoes@hotmail.com";1;41.248,00
"006854028";"financeiro@cafeouroverde.com.br";3;33.186,85
"006854028";"financeiro@fosfatec.com.br";1;20.680,00
"006854028";"fornec.agrovale@gmail.com";167;3.907.540,00
"006854028";"gameleira@gameleira.com.br";1;32.125,30
"006854028";"garanhuns@lojasranchoalegre.com.br";1;13.834,00
"006854028";"genecileal@hotmail.com";1;5.518,90
"006854028";"gilacioli@hotmail.com";1;4.122,00
"006854028";"gustavo@tiovieira.com.br";2;41.248,00
"006854028";"iolandamaral@ig.com.br";1;8.483,00
"006854028";"jmc.comercial@hotmail.com";12;659.769,50
"006854028";"josias.henrique@melodiapet.com.br / nfe@melodiapet";1;11.577,00
"006854028";"letha@letha.com.br";5;69.993,30
"006854028";"mano@nottarenottar.com.br";2;100.676,04
"006854028";"maxwellbatista1@gmail.com";6;6.445,59
"006854028";"mizaacc@hotmail.com";1;7.251,60
"006854028";"okgaiolas@yahoo.com.br";1;3.803,45
"006854028";"olindacomercial@hotmail.com";210;2.193.954,10
"006854028";"olindacomercial@hotmail.com;canaatransportes@terra.com.br";2;16.044,00
"006854028";"olindacomercial@hotmail.com;selotransportes@terra.com.br";1;8.720,00
"006854028";"paratyindustria2014@gmail.com";1;43.688,00
"006854028";"paulosergio@hotmail.com";2;2.575,00
"006854028";"produtoscolibri@hotmail.com";5;77.079,95
"006854028";"produtoskisai@hotmail.com";2;69.447,50
"006854028";"quallypet@yahoo.com.br";2;63.149,50
"006854028";"rodrigo_barros_@hotmail.com";1;6.181,80
"006854028";"sergiochagas.57@gmail.com";1;9.609,00
"006854028";"sergiosilveira1@yahoo.com.br";1;65,75
"006854028";"xml@sotrigo.com.br";10;108.800,00
"007768745";"comercial@jovera.com.br";1;759,00
"008958300";"-";15;638.551,50
"008958300";".";8;255.461,60
"008958300";"CLIENTESEMEMAIL@HOTMAIL.COM";2;125.400,00
"008958300";"NAOTEM@HOTMAIL.COM";5;97.003,50
"008958300";"PROGRESUL.LTDA@HOTMAIL.COM";5;200.250,00
"008958300";"adm.imperiodosfrios@gmail.com";2;90.300,00
"008958300";"agda@letha.com.br";2;80.000,00
"008958300";"ama.torres@hotmail.com";17;61.043,96
"008958300";"andre.lrm@hotmail.com ; comercial.aracaju01@bomfimcargas.com";2;192.616,80
"008958300";"atacadao.sp@hotmail.com";2;62.400,00
"008958300";"cadastro@depois.com.br";1;6.315,00
"008958300";"erivalnunes@gmail.com";4;202.290,11
"008958300";"frafaelame@hotmail.com;walter@transpoteperboni.com.br";1;78.120,00
"008958300";"indapol@uol.com.br";4;172.517,80
"008958300";"italoal2@hotmail.com";2;2.214,70
"008958300";"jessica@smarquesrepres.com.br";3;37.844,00
"008958300";"msembalagens@live.com";1;6.027,80
"008958300";"produzaltda@yahoo.com.br";1;14.170,00
"008958300";"rodeogarlic@terra.com.br";1;173.750,00
"008958300";"saopauloalimentos@gmail.com";6;336.952,72
"008958300";"saopauloatacadista2011@gmail.com";6;596.052,10
"008958300";"saopauloatacado2011@gmail.com";6;273.839,00
"008958300";"sergiochagas.57@gmail.com";1;11.090,00
"008958300";"suzana@presaleco.com.br";3;5.472,06
"009955410";"FINANCEIRO1@RIMAFEL.COM.BR";3;20.541,33
"009955410";"FINANCEIRO@RIMAFEL.COM.BR";7;8.488,62
"009955410";"NFE@RIMAFEL.COM.BR";5;7.752,50
"009955410";"SANDRASERVICAR@HOTMAIL.COM";2;1.072,12
"009955410";"VANESSA@JORPLAND.COM.BR";4;5.215,68
"009955410";"administrativo@rimafel.com.br";4;6.908,57
"009955410";"administrativo@rimafel.com.br:financeiro1@rimafel.";5;906,00
"009955410";"compras@rimafel.com.br";5;14.119,64
"009955410";"financeiro1@rimafel.com.br";33;63.479,06
"009955410";"financeiro@rimafel.com.br";3;1.498,01
"009955410";"rmafra@rimafel.com.br;financeiro1@rimafel.com.br";5;10.330,51
"009955410";"vendas2@rimafel.com.br";24;36.849,33
"011101873";"representacaoperfil@gmail.com";1;2.658,60
"011101873";"sbsonho@hotmail.com";1;13.521,60
"011681187";"ednaldoassis@hotmail.com";2;5.661,00
"011681187";"kttmagazine@hotmail.com";1;1.154,40
"012545619";"marciojrsport@hotmail.com";19;64.715,63
"012545619";"naotem@naotem.com";2;764,70
"013361503";"ERENITAMARQUES@HOTMAIL.COM;NFE@ECXGLOBA.COM.BR";11;13.921,20
"013361503";"ERENITAMARQUES@HOTMAIL.COM;NFE@ECXGLOBAL.COM.BR";21;25.454,70
"013361503";"LUZAMORIM@HOTMAIL.COM;ERENITAMARQUES@HOTMAIL.COM";12;20.288,25
"013361503";"dilma@ig.com.br";2;3.425,80
"013361503";"erenitamarques@hotmail.com";79;139.919,92
"013361503";"erenitamarques@hotmail.com,nfe@justnew.com.br";4;12.936,00
"013361503";"serrambi@terasystem.com.br";7;13.074,42
"013671022";"ROSANACABRALLL@GMAIL.COM";1;462,00
"015211878";"DBATEXTIL@HOTMAIL.COM";3;9.755,94
"015211878";"JOAOVICTOR-ARAUJO23@HOTMAIL.COM";4;10.912,06
"015211878";"RRPM57@IG.COM.BR";2;9.063,99
"015211878";"rrpm57@ig.com.br";1;3.230,07
"015211878";"vileneroupas@ig.com.br";15;77.874,00
"015583406";"grupomares@gmail.com";2;4.920,00
"016270665";"comercial@bonesgebe.com.br";5;9.668,99
"017611024";"SOUZAMODAS@LIVE.COM";10;13.977,80
"017611024";"SOUZAMODAS@LIVECOM";6;17.296,30
"017611024";"cleal.rep@bol.com.br";1;1.775,10
"017611024";"financeiro@oculosmaresia.com.br";1;270,00
"017611024";"souzagriff@hotmail.com";19;35.400,22
"017611024";"souzamodas@live.com";125;230.593,21
"017611024";"souzamodas@live.com;souzagriff@hotmail.com";1;758,38
"017611024";"souzamodas@live.com;vix.emisao04@braspress.com.br";1;4.183,70
"017882567";"rivania@gso.com.br";1;31.116,87
"018301711";"LIBERATOBICICLETAS@HOTMAIL.COM";5;23.762,17
"018301711";"liberatobicicletas@hotmail.com";14;57.172,68
"018301711";"liberatobicicletas@hotmail.com;isapa@isapa.spedcontrole.com.";2;30.289,27
"018301711";"liberatobicicletas@hotmail.com;opl.es@atlastranslog.com.br;i";2;21.973,95
"018301711";"robsonu250@gmail.com";5;49.637,92
"018873197";"JOSENALDOSHALON@HOTMAIL.COM";9;3.383,00
"018873197";"NULL";63;53.163,42
"018873197";"falta.cadastra@gmail.com";22;15.245,38
"018873197";"josenaldoshalon@hotmail.com";92;124.257,04
"019213123";"mirandatecidos@ig.com.br";1;9.829,60
"019227779";"ELIELLOPES2010@HOTMAIL.COM";45;79.029,35
"019227779";"edvanpaulo@bol.com";1;1.314,96
"019227779";"edvapaulo@bol.com.br";1;5.514,58
"019227779";"eliellopes2010@hotmail.com";45;119.384,69
"019227779";"elzanisouza01@hotmail.com";1;5.046,80
"019227779";"nao tem";2;8.589,35
"019294883";"edson.lima@vagamundo.com.br";2;1.306,45
"019294883";"tonicolapa@hotmail.com";1;858,00
"019294883";"trg@hotmail.com";1;684,00
"019294883";"vagamundoescritorio@hotmail.com";1;600,00
"019301685";"j.alves.moveis@hotmail.com";1;358,50
"019542291";"transmulambo2010@hotmail.com";2;1.000,00
"019910517";"icropolroup@superig.com.br";1;48.151,01
"020425686";"mjchaves21@gmail.com";1;164,84
"020588470";"emmanuelycristianny@gmail.com";4;10.650,16
"020588470";"iraneidemaria633@gmail.com";4;10.731,20
"020588470";"nf-e_contabli@dominioboxe.com.br";4;4.519,97
"020786867";"financeiromsp@yahoo.com.br";3;27.423,65
"020815204";"ROSTANSILVAPEERIRA@HOTMAIL.COM";2;22.628,47
"020815204";"SOCEREAIS@GMAIL.COM";1;23.900,00
"020815204";"UNANOMERCIALDEALIMENTOS@GMAIL.COM";1;6.978,72
"020815204";"cadastro@depois.com.br";1;8.100,00
"020815204";"notas@matiola.com.br";1;27.600,00
"020815204";"rodeogarlic@terra.com.br";1;119.700,00
"021005508";"akerynne@hotmail.com;jpptransporte@hotmail.com";11;232.654,32
"021359733";"CONTATO@LIVRARIAMODULO.COM.BR";5;2.014,38
"021359733";"CONTATOLIVRARIAMODULO@GMAIL.COM";2;268,50
"021359733";"ELIANEFREITAS@LIVRARIAMODULO.COM.BR";1;618,45
"021359733";"IVANLIVROS@HOTMAIL.COM";28;18.441,04
"021359733";"contato@livrariamodulo.com.br";3;1.078,06
"021359733";"contatolivrariamodulo@gmail.com";1;1.116,52
"021359733";"edi.entrada01@tntbrasil.com.br,michele.avila@tntbrasil.com.b";1;350,40
"021359733";"eletroway@ig.com.br";4;3.037,46
"021359733";"elianefreitas@livrariamodulo.com.br";4;1.717,85
"021359733";"franciscoivan@livrariamodulo.com.br";35;30.672,86
"021359733";"ivanlivros@hotmail.com";10;4.052,95
"021359733";"ivanlivros@hotmail.com;mercia.araujo@brasilstok.com.br;franc";7;1.559,48
"021359733";"ivanlivros@hotmail.com;recife@editoradobrasil.com.br";3;463,47
"021359733";"modulo@modulovirtual.com.br,ivanlivros@hotmail.com";21;27.508,59
"021359733";"modulocasaforte@hotmail.com";1;332,50
"021359733";"monicapdnbraga@hotmail.com";3;670,99
"021359733";"pedrofrancisco@livrariamodulo.com.br";18;14.868,06
"021359733";"webmaster@modulovirtual.com.br";21;17.287,93
"021385653";"RAVELLUNIFORMES1995@GMAIL.CPOM";9;23.309,80
"021385653";"RAVELUNIFORMES@BOL.COM.BR";7;3.431,90
"021385653";"raveluniformes@bol.com.br";5;3.722,59
"021387001";"ravellvniformes1995@gmail.com";1;410,00
"022402462";"olindafrutas@hotmail.com";341;180.781,64
"022469613";"BABUSKABELEM@HOTMAIL.COM";1;1.552,80
"022469613";"BABUSKABELEM@HOTMAIL.COM;NFE@ECXGLOBA.COM.BR";18;25.352,70
"022469613";"BABUSKABELEM@HOTMAIL.COM;NFE@ECXGLOBAL.COM.BR";13;19.477,80
"022469613";"babuskabelem@hotmail.com";53;68.381,21
"022469613";"babuskabelem@hotmail.com,nfe@justnew.com.br";2;8.847,00
"022739262";"VERA@VMAS.COM.BR";1;690,00
"022739262";"VERA@VMAS.IND.BR; vera@vmetal.com.br";4;6.265,94
"022739262";"ferreira!@vmas.ind.br; autorizadabitzer@uol.com.br";1;1.559,25
"022739262";"vera.vmas@bol.com.br;nfe@univarbrasil.com.br;lafontainetrans";2;4.203,16
"022739262";"vera.vmas@bol.com.br;recebimento.nfe@univarbrasil.com.br;laf";5;7.503,04
"022739262";"vera@umas.ind.br";1;341,70
"022739262";"vera@vmas.ind.br";11;5.209,91
"022739262";"vera@vmasindbr";2;4.029,62
"022739262";"vera@vmetal.com.br";1;42,00
"022739262";"vmasrefrigeracao@uol.com.br";2;5.175,73
"022884190";"boaviagem@redecarvalheira.com.br";8;5.369,00
"022884190";"claudiane@socontelcontabil.com.br";1;209,00
"023427230";"verdescart@bol.com.br";2;701,00
"023427230";"verdescart@gmail.com";18;4.237,50
"023666900";"leo-engcivil@hotmail.com";10;39.910,50
"023666900";"leo-engcivil@hotmail.com;transagil.xml2@hotmail.com;transagi";1;1.460,00
"023666900";"leo-engcivil@hotmail.com;transagil.xml@outlook.com";6;33.634,41
"023724285";"GIRALDOLOURENCO@HOTMAIL.COM";2;9.452,58
"023825553";"COMERCIAL.EXCLUSIVITY@OUTLOOK.COM.BR";19;38.903,58
"023825553";"EXCLUSIVITY@OUTLOOK.COM.BR";10;13.076,53
"023825553";"EXCLUSIVITYCR@GMAIL.COM";12;4.598,80
"023825553";"exclusivity@outlook.com.br;rodrigo.misan@adar.com.br";11;94.323,16
"023825553";"jeane@reluana.com.br";8;1.123,48
"024348902";"compras@renaissance.ind.br";5;4.676,69
"024348902";"cotonfil@hotmail.com";1;1.251,00
"024412414";"solimpe@oi.com.br";1;116,00
"024663840";"luizamagazinedobebe@gmail.com";1;283,00
"024733644";"centroverde@bol.com.br";57;200.980,43
"024733644";"centroverde@bol.com.br;centroverde@bol.com.br";3;9.570,46
"024733644";"centroverde@bol.com.br;nfenordesteatacado@gmail.com";10;15.948,85
"024733644";"clinordesteatacado@gmail.com;nfenordesteatacado@gmail.com";1;3.056,19
"024733644";"jrenatomenezes@uol.com.br";1;1.135,00
"024733644";"lukanera25@gmail.com";1;118,80
"024733644";"sctec@sctec.agr.br";4;2.162,00
"025132008";"@";2;1.006,02
"025132008";"acrfabrica@cuecassaga.com.br; diretoria@cuecassaga.com.br";1;11.209,89
"025132008";"financeiroacr2@hotmail.com";6;73.793,81
"025132008";"lucas_vbsales@hotmail.com";1;696,72
"025276344";"billyjoe.adm@hotmail.com";3;10.524,60
"025352032";"AMPBARBOZAGAS@HOTMAIL.COM";15;5.893,21
"025352032";"MILLENABARBOZA@GMAIL.COM";10;1.781,13
"025352032";"ampbarbozagas@hotmail.com";150;55.550,59
"025352032";"cadastro@zecassorvetes.com.br";38;14.123,50
"025352032";"marfimxml@gmail.com";18;3.353,24
"025352032";"mercadinhoabrahao@hotmail.com";9;4.115,73
"025352032";"resinaldo@gmail.com";19;1.423,73
"025392255";"LIBERATOBICICLETAS@HOTMAIL.COM";1;1.007,60
"025392255";"ltgbicicletas@ig.com.br";19;119.613,12
"025392255";"ltgbicicletas@ig.com.br;opl.es@atlastranslog.com.br;isapa@is";2;57.977,30
"025392255";"marcospaivarep@hotmail.com";2;4.883,00
"025392255";"robson@hotmail.com";5;9.721,25
"025392255";"robsonu250@gmail.com";4;19.860,25
"025392255";"robsonu250@gmail.com.br";9;71.390,60
"025392255";"robsonu250@gmail.com;expedicao@expresstcm.com.br";1;2.586,36
"026113171";"varejaodossacos@yahoo.com.br";1;508,14
"026397340";"AUDO-VIEIRA@HOTMAIL.COM";15;111.891,79
"026397340";"AUDO-VIEIRA@HOTMAIL.COM;caw.adm01@braspress.com.br";1;3.186,51
"026397340";"audio-vieira@hotmail.com";1;9.530,63
"026397340";"audo-vieira@hotmail.com";81;450.835,80
"026397340";"audo-vieira@hotmail.com;";3;13.411,53
"026397340";"audo-vieira@hotmail.com;nfe@agrelense.com.br";1;3.604,04
"026397340";"audo-vieira@hotmail.com;sp@transpecas.net";2;21.406,33
"026397340";"audo-vieira@hotmail.com;tatiana.granco@galzerano.com.br";4;38.100,20
"026397340";"audo-viera@hotmail.com";1;2.957,40
"026397340";"audo-vireira@hotmail.com";2;44.350,80
"026397340";"audo1vieira@gmail.com";3;19.977,48
"026397340";"audo_vieira@hotmail.com";2;10.021,80
"026397340";"audovieira@hotmail.com";3;4.994,72
"026397340";"joelmacleosantos@hotmail.com";1;2.574,75
"026397340";"nfe@multmiximportadora.com.br";1;1.556,90
"026607840";"ESTA@HOTMIL.COM";16;2.034,50
"026607840";"NF.CLIENTES@QUALYFRIOS.COM.BR";69;23.077,36
"026607840";"NOTAFISCALTDM@GMAIL.COM";13;5.204,20
"026607840";"a@a.com";17;4.260,96
"000132691";"30342984";2;1.063,00
"000132691";"8132512983";23;60.494,35
"001072803";"8135330512";1;3.217,60
"006124305";"8132245523";1;1.916,34
"006124305";"81322455233224";1;453,60
"006558488";"8134395956";1;450,00
"006854028";"00000000000";130;1.982.795,15
"006854028";"000000000000";1;40.501,35
"006854028";"08132247821";14;222.841,84
"006854028";"322222222";4;54.400,00
"006854028";"32247821";1;43.948,20
"006854028";"55081996041306";1;59.400,00
"006854028";"6100000000";5;55.450,25
"006854028";"8132247821";153;3.540.914,40
"006854028";"8132493823";1;11.769,00
"006854028";"8134931835";7;68.427,04
"006854028";"813493183581";1;188,00
"006854028";"8135221991";7;381.319,81
"006854028";"8196041306";52;922.591,48
"006854028";"81979084803";4;120.100,00
"006854028";"81995723121";1;15.610,00
"006854028";"81996041306";10;108.800,00
"006854028";"87999910220";2;193.740,00
"006854028";"96041306";1;19.300,00
"006854028";"983617150";17;158.485,40
"006854028";"996041306";1;6.200,00
"006854028";"998340037";2;10.817,62
"006854028";"99999999999";1;48,00
"007768745";"8137311151";1;759,00
"008581533";"8738643232";1;782,00
"008958300";"000000000";5;97.003,50
"008958300";"00000000000";4;50.280,00
"008958300";"08132744387";5;192.217,70
"008958300";"1132283255";1;173.750,00
"008958300";"32744387";22;1.127.318,89
"008958300";"34521616";17;60.400,01
"008958300";"8132744387";14;644.056,24
"008958300";"8134343434";1;23.100,00
"008958300";"8141000350";6;352.547,47
"008958300";"8187659432";1;116.242,15
"008958300";"8196496167";1;2.069,72
"008958300";"8198347113";1;35.364,00
"008958300";"88999653943";6;13.685,45
"009955410";"33126500";6;7.210,34
"009955410";"8133126500";57;108.507,10
"009955410";"8133126501";2;4.146,34
"009955410";"8133126505";3;5.415,47
"009955410";"8134238221";2;1.072,12
"009955410";"8134246500";9;8.016,52
"011101873";"8132315200";1;7.211,04
"011101873";"8133392848";2;16.180,20
"012545619";"32514372";22;68.998,93
"012545619";"8132514372";9;25.916,10
"013361503";"008738699270";3;8.736,60
"013361503";"8738699270";114;165.171,10
"013671022";"81984440070";1;462,00
"013671022";"81991350063";13;10.349,95
"015211878";"8137190924";1;9.529,40
"015211878";"81999229576";9;37.144,65
"015583406";"8137226514";2;4.920,00
"015583406";"81996051602";1;207,00
"015735516";"8137212473";31;530.168,34
"016270665";"008134455903";5;3.874,65
"017611024";"08135232100";5;13.897,10
"017611024";"35232100";5;11.262,03
"017611024";"8135232100";122;225.381,32
"017611024";"8135232468";3;3.876,00
"018301711";"08137217191";25;2.531,53
"018301711";"8137217191";16;92.924,82
"018873197";"32287986";18;14.461,52
"018873197";"8132287986";35;37.349,73
"019213123";"8137210535";1;9.829,60
"019227779";"0036260047";1;1.890,00
"019227779";"008136260953";1;544,00
"019227779";"08136260953";4;2.818,20
"019227779";"8132260047";10;34.726,30
"019227779";"8136260047";3;7.865,01
"019227779";"8136260953";43;88.744,56
"019227779";"8136264799";1;871,00
"026607840";"arnaldocc2009@hotmail.com";26;6.622,05
"026607840";"eduardoc@maritimospescados.com.br";28;8.318,01
"026607840";"nfe@distribuidorafocus.com.br";4;779,10
"026607840";"rosildasalomao014@gmail.com";14;4.011,94
"026607840";"rosildasalomao2014@gmail.com";88;33.672,42
"027068145";"AJUSTAR@EMAIL.COM";1;840,00
"027068145";"APT@GRUPOLUNA.COM.BR";3;749,88
"027068145";"CIDAHABIBS_@HOTMAIL.COM";2;660,00
"027068145";"habbibs@hotmail.com";3;1.091,30
"027068145";"lilianeallig@ig.com.br";1;905,59
"027068145";"rsilva@habibis.com.br";18;2.451,89
"027068145";"rsilva@habibis.com.br;ednaldo.silva@adtsa.com.br";2;1.782,00
"027068145";"rsilva@habibs.com.br";288;1.246.409,79
"027233103";"magazineesperanca@hotmail.com";7;8.182,38
"027233103";"magazineesperança@hotmail.com";2;2.508,69
"027371751";"ADM@FEMEAMODAS.COM.BR";1;512,77
"027371751";"adm@femeamodas.com.br";3;10.246,07
"027371751";"adm@femeamodas.com.br;nf-e_contabli@dominioboxe.com.br";1;3.258,42
"027371751";"femeamodas@gmail.com";1;1.653,00
"027720942";"farmacenteramiga@hotmail.com";103;57.191,38
"027720942";"farmacia.saudeevida@hotmail.com";4;1.880,35
"027720942";"pedromelo6187@gmail.com";1;284,38
"028240863";"ICINTRA081@GMAIL.COM";8;3.108,00
"028240863";"icintra081@gmail.com";1;2.174,70
"028513690";"COMPRAS1@BRASPELCOMERCIO.COM.BR";2;11.550,00
"028513690";"COMPRAS3@DATAPRESS.SRV.BR";4;10.418,72
"028513690";"GERENCIA.LOJA3@BRPAPEIS.NET";3;1.473,33
"028513690";"INES@ALLIANCER.COM.BR";1;2.052,54
"028513690";"LUCIANA.SOUZA@BRASPELCOMERCIO.COM.BR";3;1.376,81
"028513690";"RECEBIMENTONFE@ARTECULTURA.COM.BR";39;302.802,33
"028513690";"br.papeis@hotmail.com";2;3.650,00
"028513690";"cassiana.marcelino@braspelcomercio.com.br";3;4.012,80
"028513690";"compras1@braspelcomercio.com.br";2;38.369,08
"028513690";"compras1@braspelcomercio.com.br;jlamorimrepresentacoes@yahoo";1;24.493,46
"028513690";"compras2.centraldistribuidora@gmail.com";1;14.135,10
"028513690";"compras3@datapress.srv.br";50;1.140.335,22
"028513690";"contratacao.pe@ldbcargas.com.br";1;131,60
"028513690";"coordenacao.loja1@brpapeis.net";1932;11.555.373,05
"028513690";"fin4@brpapeis.net";1;2.621,96
"028513690";"financeiro4@brpapeis.net,compras1@datadpress.srv.br,mozart.s";2;18.412,92
"028513690";"fornordesteatacado@gmail.com";1;269,70
"028513690";"helia.silva@braspelcomercio.com.br";2;706,70
"028513690";"mozart.sena@braspelcomercio.com.br";3;23.493,69
"028513690";"recebimentonfe@atacadaodepapelaria.com.br";5;16.339,70
"028513690";"secretaria@datapress.srv.br";7;5.642,87
"028513690";"ti4@brpapeis.net";1;438,74
"028513690";"vendas.brd@gmail.com";1;80,20
"028513690";"vendas14@brpapeis.net";3;117,00
"028573676";"dayanebaby2008@hotmail.com";1;3.269,01
"028640373";"e_rinaldo_pereira@hotmail.com";1;50,00
"028730283";"GILBERTO.53@HOTMAIL.COM";23;18.304,59
"028730283";"ciadosanimais@gmail.com";6;351,49
"028730283";"gilberto.53@hotmail.com";366;454.329,58
"028730283";"nfe@distribuidorafocus.com.br";38;26.331,28
"028730283";"suellencler@hotmail.com";23;12.103,45
"028730283";"tatitoy@hotmail.com";29;21.433,88
"028730283";"tatitpy@hotmail.com";1;355,59
"028939409";"dcpaula@uol.com.br";1;2.999,00
"029059658";"MANDACARU@MANDACARUMOTOR.COM";1;1.362,80
"029059658";"breno@grupomarinho.com.br";24;160.974,82
"029498570";"RAFA20102011@HOTMAIL.COM";6;4.629,65
"029528151";"CAMILA.CENTERMAQATACADO@HOTMAIL.COM";4;487,98
"029528151";"CENTERMAQ.P@UOL.COM.BR";1;8.112,00
"029528151";"KETENYCENTERMAQ@HOTMAIL.COM";1;500,00
"029528151";"MKMK@MAKRO.COM.BR";7;1.337,70
"029528151";"americaimportfiscal@outlook.com";1;1.875,00
"029528151";"caititu.juarez@hotmail.com";10;5.564,00
"029528151";"canedo.cm@hotmail.com";8;4.320,00
"029528151";"centermaq.p@uol.com.br";51;71.005,12
"029528151";"centermaq.p@uol.com.br; faturamento@jutaymoura.com.br";5;3.895,86
"029528151";"centermaq.p@uol.com.br; faturamento@jutaymoura.com.br; venda";3;232,97
"029528151";"centermaq.p@uol.com.br;pendencia@transapucarana.com.br";1;257,95
"029528151";"centermaq@hotmail.com";1;497,40
"029528151";"compras@centermaqpetrolina.com.br";2;46,22
"029528151";"comprascentermaq@gmail.com";2;1.219,20
"029528151";"comprascentermaq@gmail.com;rte380@rte.com.br";1;667,00
"029528151";"contato@centermaqpetrolina.com.br";1;3.107,99
"029528151";"daniellecentermaq@hotmail.com; centermaq.p@uol.com.br;nfe@fr";2;1.915,72
"029528151";"inforio@inforio.com.br";2;550,10
"029528151";"juncao@juncao.com.br";79;68.512,64
"029528151";"ketenycentermaq@hotmail.com";16;3.788,76
"029528151";"nfe@redealagoas.com.br";2;2.432,30
"029528151";"saccentermaq@hotmail.com";19;4.538,60
"029528151";"vendascentermaq@hotmail.com";699;1.757.289,58
"030031320";".";5;763,60
"030031320";"FINANCEIRO@USEMETAIS.COM.BR";1;25,00
"030031320";"VENDAS@USEMETAIS.COM.BR";1;1.145,47
"030031320";"compras@pernambucoservice.com.br";3;3.405,62
"030031320";"compras@usemetais.com.br";8;1.732,10
"030031320";"eveline@usemetais.com.br";3;932,40
"030031320";"financeiro@usemetais.com.br";7;12.249,54
"030031320";"gregorio@usemetais.com.br";1;2.298,56
"030031320";"nfe@metanaco.com.br";2;65,00
"030031320";"nfe@usemetais.com.br";5;5.630,00
"030031320";"simone@usemetais.com.br";3;2.594,29
"030031320";"usemetais@usemetais.com.br";4;165,08
"030031320";"vendas@usemetais.com.br";7;4.892,80
"030287472";"compras@reditools.com.br";1;5.442,30
"030287472";"reditools@reditools.";2;1.260,34
"030287472";"sergio@reditools.com.br";7;73.356,60
"030313902";"BRENO@GRUPOMARINHO.COM.BR";1;9.058,39
"030313902";"MARCONIMASCATE@HOTMAIL.COM";1;150,00
"030313902";"SHIRLEY.FINANCEIRO@HOTMAIL.COM";1;2.321,89
"030313902";"breno@grupomarinho.com.br";24;175.621,68
"030313902";"breno@grupomarinho.com.br,marcacao04@outlook.com";11;162.893,51
"030313902";"marcacao04@outlook.com";37;97.017,78
"030313902";"sueli04@grupomarinho.com.br";6;87.218,54
"030313902";"susanmlrep@gmail.com";5;33.831,29
