IE;CNPJ;RAZAO;SIT;ARRECADACAO;ENTRADAS;SAIDAS;REGIME;SEGM;MUNICIPIO;DRR;DATA-IE;CONTADOR
"076896080";"30212857000136";"IVANILDO LUZIA DA SILVA 49016725415";"A";;100.275,96;;"SIMEI";"TECIDOS";"FREI MIGUELINHO";"II";23/04/2018;
"076895785";"30212821000152";"CLARCK PAIVA XAVIER DUTRA 09743329684";"A";;104.918,42;;"SIMEI";"TECIDOS";"CARUARU";"II";23/04/2018;
"076895513";"30212776000136";"WENDER LUCAS SILVA OLIVEIRA 13439811662";"A";;143.500,00;;"SIMEI";"TECIDOS";"FREI MIGUELINHO";"II";23/04/2018;
"076885550";"24887164000140";"VICTOR HUGO DE ALBUQUERQUE E MELLO 06826838419";"A";;137.464,00;;"SIMEI";"INDUSTRIA DE ALIMENTOS";"NAZARE DA MATA";"I";23/04/2018;
"076875407";"30200252000125";"ALINE PRISCILA DE SOUZA DA SILVA 13367040479";"A";;14.381,00;442.271,90;"SIMEI";"VAREJO";"BREJO DA MADRE DE DEUS";"II";23/04/2018;
"076874354";"30199614000105";"IRAN DO NASCIMENTO SANTANA 13132299464";"A";;34.390,67;769.178,52;"SIMEI";"VAREJO";"TORITAMA";"II";23/04/2018;
"076871762";"30271658000107";"JOSE GEFERSON DE SOUZA";"S";;;;"SIMPLES NACIONAL";"TECIDOS";"TORITAMA";"II";23/04/2018;
"076868974";"30261888000187";"EDIJANE DE OLIVEIRA CONFECCOES";"S";;121,94;;"SIMPLES NACIONAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";20/04/2018;
"076868117";"30260476000122";"COMERCIAL NOVO PARAISO COMERCIO DE ALIMENTOS EIRELI";"C";;;1.075.307,47;"NORMAL";"INDUSTRIA DE ALIMENTOS";"ITAMBE";"I";20/04/2018;
"076859207";"26270396000423";"MARCIO DA SILVA FREITAS";"S";;;72.234,00;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";19/04/2018;
"076856020";"29866252000341";"ADRIANA SANTINA DE OLIVEIRA";"A";;35.528,87;172.287,50;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";18/04/2018;
"076853438";"30223118000140";"JOSE DAVI DA SILVA GOMES EIRELI";"S";;367.536,85;;"SIMPLES NACIONAL";"SUPERMERCADOS";"BOM CONSELHO";"II";17/04/2018;"ANA LUCIA DE OLIVEIRA SABINO"
"076852970";"30214046000174";"C P ROBERTO";"A";300,00;276.917,78;671.747,02;"NORMAL";"TECIDOS";"TAQUARITINGA DO NORTE";"II";17/04/2018;
"076802957";"30162121000109";"MARIA ELIENE DE SOUZA 03600101480";"B";;;;"NORMAL";"TECIDOS";"SANHARO";"II";16/04/2018;
"076802361";"30161826000101";"KETELLY KEROLANY VALE DA SILVA 13520101432";"A";1,01;77.057,47;;"SIMEI";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";16/04/2018;"LUIZ CARLOS FERREIRA DA COSTA"
"076771113";"26749063000481";"CLAUDIONOR MENDES DA SILVA";"S";;;;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";16/04/2018;
"076763609";"30191425000196";"K. STEFFANY S. PEREIRA";"S";;971.891,47;;"NORMAL";"BEBIDAS";"IBIMIRIM";"II";13/04/2018;"SANDRA APARECIDA SOARES DA SILVA"
"076756904";"30170533000182";"JACKSON ARIEL LIMA DA SILVA";"A";;2.805.720,05;;"NORMAL";"BEBIDAS";"TUPANATINGA";"II";11/04/2018;
"076754294";"29727057000330";"ELISON JOSE DA SILVA";"A";;123.637,90;158.761,80;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";11/04/2018;
"076752089";"30157519000149";"CARLA KARIELE ARRUDA DOS SANTOS";"A";;206.748,30;29.925,00;"NORMAL";"TECIDOS";"TORITAMA";"II";10/04/2018;
"076750701";"30154779000160";"ANTONIO AUGUSTO SETTE LEITE DE CARVALHO PLASTICOS";"A";;109.411,01;180.890,00;"NORMAL";"ATACADO";"RECIFE";"I";10/04/2018;
"076687244";"30101217000159";"DANIEL SANTIAGO DA SILVA MELO 15421745465";"A";;99.660,20;;"SIMEI";"SUPERMERCADOS";"CARUARU";"II";09/04/2018;
"076683842";"30099722000106";"ARTHUR HENRIQUE SANTOS CEZARIO 11422062465";"A";;8.825,00;1.074.089,43;"SIMEI";"TECIDOS";"CAMARAGIBE";"I";09/04/2018;
"076661016";"30083985000127";"MARIA HELENA DE SOUZA LIMA MANOEL 26263635886";"A";;44.486,53;619.837,00;"SIMEI";"TECIDOS";"CARUARU";"II";09/04/2018;
"076653005";"30077165000122";"AMANDA ALEXANDRA NETO DA SILVA 13264578450";"A";;;54.117,70;"SIMEI";"VAREJO";"JABOATAO DOS GUARARAPES";"I";09/04/2018;
"076651487";"30076064000137";"UESLEI HENRIQUE DA SILVA 11050851471";"A";;1.368,00;340.883,20;"SIMEI";"TECIDOS";"CAMARAGIBE";"I";09/04/2018;
"076650162";"30146086000126";"RICARDO LUIZ DA SILVA EIRELI";"S";;955.739,11;;"NORMAL";"BEBIDAS";"AFRANIO";"III";09/04/2018;"SANDRA APARECIDA SOARES DA SILVA"
"076634639";"25424690000218";"ISRAELA BATISTA DA COSTA";"S";;;;"NORMAL";"TECIDOS";"VERTENTES";"II";05/04/2018;
"076627349";"29727080000325";"DAYVID ANTONY ALVES DA SILVA";"A";;175.109,79;385.912,40;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";03/04/2018;
"076627268";"30093779000106";"R.M. DE O. E SILVA COMERCIO DE BEBIDAS EIRELI";"S";;926.493,10;;"NORMAL";"BEBIDAS";"VERTENTES";"II";03/04/2018;"SANDRA APARECIDA SOARES DA SILVA"
"076616142";"30062256000194";"FLAVIO DE OLIVEIRA PEREIRA 06880140971";"A";;169.604,13;;"SIMEI";"VAREJO";"JABOATAO DOS GUARARAPES";"I";02/04/2018;
"076607151";"30055403000107";"RAFAELA DA SILVA MENDONCA 12174110466";"A";;3.100,00;1.065.588,70;"SIMEI";"TECIDOS";"TORITAMA";"II";02/04/2018;
"076606775";"30055374000175";"BRUNO CARVALHO RODRIGUES 09814804460";"A";;32.830,04;816.182,80;"SIMEI";"TECIDOS";"SURUBIM";"II";02/04/2018;
"076591301";"29890861000174";"JAURECI NASCIMENTO DA COSTA 92379966400";"C";;730.504,39;;"SIMPLES NACIONAL";"ATACADO DE ALIMENTOS";"GAMELEIRA";"I";02/04/2018;
"076591212";"26026086000115";"JOSE RENATO DOS SANTOS 09547471430";"S";;792.537,10;;"SIMPLES NACIONAL";"ATACADO DE ALIMENTOS";"CARUARU";"II";02/04/2018;
"076587967";"30041984000110";"FRANCISCO ANTONIO AMORIM DA SILVA 05598045397";"A";;151.902,37;;"SIMEI";"ATACADO DE ALIMENTOS";"SAO JOSE DO EGITO";"II";02/04/2018;
"076562620";"30081946000190";"ADERALDO SAMPAIO DE MIRANDA";"S";;90.675,50;;"NORMAL";"ATACADO DE ALIMENTOS";"SANTA CRUZ";"III";02/04/2018;
"076545610";"30029180000103";"WALACE BATISTA DE SOUZA 11312419750";"A";;165.245,01;;"SIMEI";"TECIDOS";"TORITAMA";"II";26/03/2018;
"076545539";"30029172000159";"GEOVANNA ALVES LEMOS 90385969520";"A";;153.153,00;;"SIMEI";"TECIDOS";"TORITAMA";"II";26/03/2018;
"076545458";"30029164000102";"HERIBERTO SEVERINO DA SILVA 06640905400";"A";;169.678,01;;"SIMEI";"TECIDOS";"TORITAMA";"II";26/03/2018;
"076545377";"30029155000111";"LEONILDA MARIA DE SANTANA 06345910457";"A";;176.631,08;;"SIMEI";"TECIDOS";"TORITAMA";"II";26/03/2018;
"076464296";"29974182000183";"EDILMA VANESSA ALMEIDA SILVA 10200978411";"C";;510.724,29;;"SIMEI";"VAREJO";"CARUARU";"II";26/03/2018;
"076453847";"30036393000154";"NATALICIO SANTANA DE MOURA";"A";;164.606,10;2.365.642,35;"SIMPLES NACIONAL";"TECIDOS";"SURUBIM";"II";26/03/2018;"MARIA JOSE BEZERRA"
"076453766";"30036387000105";"JOSE LIVALDO DE ARRUDA JUNIOR";"A";;100.437,20;345.006,00;"SIMPLES NACIONAL";"TECIDOS";"SURUBIM";"II";26/03/2018;
"076445151";"30017695000185";"TULIO E. A. DA SILVA BEBIDAS";"C";;976.026,61;;"NORMAL";"BEBIDAS";"AMARAJI";"I";23/03/2018;"SANDRA APARECIDA SOARES DA SILVA"
"076444422";"27744825000924";"JOSE ALAN DA SILVA VAREJISTA DE TECIDOS EPP";"S";;;499.831,50;"NORMAL";"TECIDOS";"TAQUARITINGA DO NORTE";"II";23/03/2018;
"076444341";"26228381000405";"ROBERTA SIMONE DO NASCIMENTO";"S";;29.484,00;690.275,20;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";23/03/2018;
"076439933";"27584943000670";"FLAVIO FRANCISCO DOS SANTOS LEITE EPP";"S";;42.935,10;434.112,80;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";22/03/2018;
"076438376";"29842460000220";"GEOVANO BENTO ALVES";"A";;419.060,13;219.852,00;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";22/03/2018;
"076436160";"29866252000260";"ADRIANA SANTINA DE OLIVEIRA";"A";;917.190,25;241.235,00;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";21/03/2018;
"076433730";"29994246000108";"EDIVANIA GOMES DA SILVA COMERCIO";"C";;;1.048.716,34;"NORMAL";"BEBIDAS";"ITAMBE";"I";21/03/2018;
"076432688";"29988992000199";"EDVALDO J. DA SILVA - MERCADINHO";"S";;981.656,43;;"NORMAL";"BEBIDAS";"ANGELIM";"II";20/03/2018;"SANDRA APARECIDA SOARES DA SILVA"
"076428656";"29966965000115";"SELMA BOTELHO CARREIRO 99593408304";"A";;176.084,12;;"SIMEI";"TECIDOS";"SURUBIM";"II";19/03/2018;
"076427927";"29966790000146";"NEUSA SOARES LEITE 31069284840";"A";;209.693,42;;"SIMEI";"TECIDOS";"VERTENTES";"II";19/03/2018;
"076427846";"29966704000103";"EDVALDO CICERO DA SILVA 11935428470";"A";;267.831,93;;"SIMEI";"TECIDOS";"VERTENTES";"II";19/03/2018;
"076403904";"29952516000118";"LUAN DANILO VIANA SILVA 09948690451";"A";;173.466,40;;"SIMEI";"TECIDOS";"VERTENTES";"II";19/03/2018;
"076403823";"29952498000174";"CICERO ALVES CORDEIRO 70623210444";"A";;166.547,28;;"SIMEI";"TECIDOS";"SURUBIM";"II";19/03/2018;
"076403661";"29952473000170";"SERGIO DA PAZ LIMA 08970224408";"C";;293.357,26;;"SIMEI";"TECIDOS";"SURUBIM";"II";19/03/2018;
"076403238";"29952290000155";"GEORGE MARTINIANO LOPES 04691475478";"A";;310.659,50;;"SIMEI";"TECIDOS";"SURUBIM";"II";19/03/2018;
"076388506";"29943838000109";"THIAGO LUIS SOBRAL DOS SANTOS 12897293446";"B";;2.921,75;527.453,37;"NORMAL";"TECIDOS";"IBIRAJUBA";"II";19/03/2018;
"076386988";"29943341000182";"WELBSON HONNALTY RODRIGUES DA MOTA 07173099404";"B";;;163.850,63;"NORMAL";"TECIDOS";"CAMARAGIBE";"I";19/03/2018;
"076346099";"29914687000152";"WYLLYEVERTON DE SOUZA SILVA 11362542423";"B";;60.793,43;180.909,00;"SIMEI";"TECIDOS";"BOQUEIRAO";"I";19/03/2018;
"076342859";"29913143000176";"SERGIO TEOFILO MANOEL 26128961800";"A";;322.736,09;;"SIMEI";"TECIDOS";"FREI MIGUELINHO";"II";19/03/2018;
"076325091";"29970797000131";"J. M. APOLINARIO DA SILVA";"S";50,63;649.771,01;;"SIMPLES NACIONAL";"VAREJO";"PAULISTA";"I";19/03/2018;"CARLOS FERNANDO DA SILVA"
"076323471";"29969453000102";"EDNALDO A DA SILVA";"A";;104.843,75;2.726.285,35;"NORMAL";"TECIDOS";"JATAUBA";"II";19/03/2018;
"076323200";"29968984000180";"SEVERINO P DA SILVA";"A";;794.769,33;15.998,00;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";19/03/2018;
"076322408";"10668384000179";"CAPIBARIBE REPRESENTACAO E VENDAS DE PESCADOS LTDA";"C";3.491,25;139.650,00;;"NORMAL";"INDUSTRIA DE ALIMENTOS";"RECIFE";"I";19/03/2018;
"076318125";"29954147000100";"RENAN LIMA DE MELO COMERCIO";"C";;1.695.905,00;120.564,30;"NORMAL";"BEBIDAS";"VERTENTES";"II";16/03/2018;
"076316343";"26749063000309";"CLAUDIONOR MENDES DA SILVA";"S";;652.276,31;1.893.168,50;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";15/03/2018;
"076311970";"29727057000250";"ELISON JOSE DA SILVA";"A";;345.731,54;81.252,60;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";14/03/2018;
"076309304";"29727080000244";"DAYVID ANTONY ALVES DA SILVA";"A";;423.930,91;128.589,20;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";14/03/2018;
"076294005";"29899620000196";"WELLINGTON SOBRAL MOREIRA 11215173407";"A";;451.175,00;;"SIMEI";"ATACADO DE ALIMENTOS";"GOIANA";"I";12/03/2018;
"076293700";"29899585000105";"EDMILSON AMARO DE OLIVEIRA 09276332480";"A";;385.550,00;;"SIMEI";"INDUSTRIA DE ALIMENTOS";"GARANHUNS";"II";12/03/2018;
"076293203";"29899532000194";"ANTONIO DE LIMA PASSOS 10086748424";"A";;516.870,00;;"SIMEI";"ATACADO DE ALIMENTOS";"CAMARAGIBE";"I";12/03/2018;
"076293033";"29899503000122";"FLAVIO AMARO DA SILVA 06419034485";"A";;330.500,00;;"SIMEI";"INDUSTRIA DE ALIMENTOS";"SAO LOURENCO DA MATA";"I";12/03/2018;
"076292908";"29899455000172";"MARCIO EDUARDO DE BARROS FERREIRA 11098196414";"A";;197.400,00;;"SIMEI";"ATACADO DE ALIMENTOS";"JABOATAO DOS GUARARAPES";"I";12/03/2018;
"076292738";"29899421000188";"MOISES HONORIO DE LIMA 05180629454";"A";;172.800,00;;"SIMEI";"INDUSTRIA DE ALIMENTOS";"SANTA CRUZ DO CAPIBARIBE";"II";12/03/2018;
"076289354";"22551118000140";"THIAGO ALVES FERREIRA DA SILVA 09063392435";"A";;123.211,20;18.845,00;"SIMEI";"VAREJO";"CARUARU";"II";12/03/2018;
"076242803";"29330167000100";"DAMIAO DE LIMA SILVA 82870772300";"A";;171.058,10;;"SIMEI";"TECIDOS";"RECIFE";"I";12/03/2018;
"076214931";"29845144000120";"TIAGO JOSE DA SILVA 05366261465";"A";300,00;515.042,40;2.124.226,41;"SIMEI";"VAREJO";"TORITAMA";"II";12/03/2018;
"076210944";"29842110000182";"ROBERVAL DA SILVA 08456280461";"A";;190.520,00;;"SIMEI";"INDUSTRIA DE ALIMENTOS";"SAO LOURENCO DA MATA";"I";12/03/2018;
"076210359";"29841733000130";"EDILSON RAMOS DA SILVA 67028187420";"C";;74.120,00;;"SIMEI";"INDUSTRIA DE ALIMENTOS";"ESCADA";"I";12/03/2018;
"076209938";"29841487000117";"ERIVALDO JOSE DA SILVA 13862857492";"A";;135.450,00;;"SIMEI";"ATACADO DE ALIMENTOS";"JABOATAO DOS GUARARAPES";"I";12/03/2018;
"076209261";"29841158000176";"CRISTIANO FERREIRA DE ARAUJO 08425925479";"C";;386.383,04;;"SIMEI";"TECIDOS";"SURUBIM";"II";12/03/2018;
"076194990";"29880438000193";"J W SANTOS DA SILVA";"S";;;425.766,91;"SIMPLES NACIONAL";"MATERIAL DE CONSTRUCAO";"RECIFE";"I";08/03/2018;"DIEGO RAFAEL DA SILVA"
"076193322";"29874794000102";"SONIA PEREIRA DE BARROS - ALIMENTOS";"A";;5.186,59;1,00;"SIMPLES NACIONAL";"SUPERMERCADOS";"SALOA";"II";07/03/2018;"ANA LUCIA DE OLIVEIRA SABINO"
"076189643";"29866252000180";"ADRIANA SANTINA DE OLIVEIRA";"S";;525.092,51;;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";07/03/2018;
"076167917";"29825989000154";"JOAO PAULO BATISTA DO NASCIMENTO 11383561400";"C";;148.609,16;;"SIMEI";"TECIDOS";"CARUARU";"II";05/03/2018;
"076166007";"29824779000141";"GILSON GUILHERMINO DA SILVA 10512245436";"C";;179.255,39;;"SIMEI";"TECIDOS";"SURUBIM";"II";05/03/2018;
"076134580";"29803365000136";"RICARDO JOSE BRITO LOPES DA ROCHA 09793411406";"A";2.544,92;41.338,80;61.358,50;"SIMEI";"VAREJO";"JABOATAO DOS GUARARAPES";"I";05/03/2018;
"076120600";"29795121000159";"DAMIAO ASSUNCAO DOS SNTOS 09493180433";"A";;53.897,57;2.732.296,93;"SIMEI";"VAREJO";"TORITAMA";"II";05/03/2018;
"076117731";"29792712000172";"RAFAEL DA SILVA CRISTOVAO 10826498485";"C";;216.562,62;;"SIMEI";"BEBIDAS";"JUPI";"II";05/03/2018;
"076116417";"29791508000137";"ANA MARIA DOS SANTOS FILHA 78000041472";"A";;146.010,00;;"SIMEI";"ATACADO DE ALIMENTOS";"SAO LOURENCO DA MATA";"I";05/03/2018;
"076081109";"26270396000342";"MARCIO DA SILVA FREITAS";"S";;;586.710,20;"NORMAL";"TECIDOS";"TAQUARITINGA DO NORTE";"II";05/03/2018;
"076080986";"26360456000407";"KLETIA WILANE FARIAS";"S";;31.429,49;622.972,30;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";05/03/2018;
"076080803";"27584943000599";"FLAVIO FRANCISCO DOS SANTOS LEITE EPP";"S";;115.543,68;348.300,40;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";05/03/2018;
"076080129";"29842460000149";"GEOVANO BENTO ALVES";"C";;634.993,44;;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";05/03/2018;
"076052850";"29768873000120";"ANDERSON DA SILVA MENDES 10385123442";"A";;21.959,08;1.491.084,22;"SIMEI";"TECIDOS";"CAMARAGIBE";"I";26/02/2018;
"076051293";"29767187000135";"EDNILTON BARBOZA DOS SANTOS 05967859411";"C";;278.985,64;;"SIMEI";"TECIDOS";"VERTENTES";"II";26/02/2018;
"076039161";"29757714000120";"ROSIANO JOSE DA SILVA 12418968871";"C";;163.835,51;;"SIMEI";"TECIDOS";"VERTENTES";"II";26/02/2018;
"076028631";"29749434000170";"MARIA CLARA ALVES DOS SANTOS 71504248481";"A";;20.954,21;110.127,50;"SIMEI";"VAREJO";"JABOATAO DOS GUARARAPES";"I";26/02/2018;
"076022609";"29745748000103";"SUEDILSON ANTONIO DE SOBRAL 08614452446";"C";;566,40;402.809,00;"SIMEI";"TECIDOS";"VERTENTES";"II";26/02/2018;
"076013367";"29727684000100";"SEVERINO GOMES DA SILVA 09106792405";"A";2,11;145.470,45;154.907,90;"SIMEI";"TECIDOS";"CARUARU";"II";26/02/2018;
"075975173";"29734920000115";"LUIZ HENRIQUE DA SILVA RIBEIRO 70164712410";"C";;302.820,00;;"SIMEI";"ATACADO DE ALIMENTOS";"SANTA CRUZ DO CAPIBARIBE";"II";26/02/2018;
"075963833";"29776311000129";"EDUARDO BRAZ DA SILVA";"C";538,68;245.395,00;;"NORMAL";"INDUSTRIA DE ALIMENTOS";"JUREMA";"II";26/02/2018;
"075958830";"27469467000727";"FABIANO BERTO DE SOUZA SILVA EPP";"S";;278.972,21;908.061,96;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";23/02/2018;
"075958759";"27744825000843";"JOSE ALAN DA SILVA VAREJISTA DE TECIDOS EPP";"S";;46.192,03;515.491,40;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";23/02/2018;
"075953013";"29753766000129";"CAROLAINE BRITO DE ARAUJO";"C";;2.327.375,00;214.837,07;"NORMAL";"BEBIDAS";"VERTENTE DO LERIO";"II";22/02/2018;
"075950006";"29738154000167";"E D A COMERCIO DE MATERIAL DE LIMPEZA LTDA";"C";;165.803,59;366.059,00;"NORMAL";"INDUSTRIA DE ALIMENTOS";"RECIFE";"I";21/02/2018;
"075945932";"29727080000163";"DAYVID ANTONY ALVES DA SILVA";"C";;941.854,81;273.772,90;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";20/02/2018;
"075945851";"29727057000179";"ELISON JOSE DA SILVA";"C";;1.054.705,35;255.423,20;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";20/02/2018;
"075944022";"15385299000117";"ANTONIO CAMPELO DE ALBUQUERQUE EPP";"S";;;2.668.337,85;"NORMAL";"MATERIAL DE CONSTRUCAO";"RECIFE";"I";20/02/2018;
"075852500";"29641500000194";"JOSE ADRIANO DA SILVA 26574617863";"C";;257.072,20;;"SIMEI";"VAREJO";"CARUARU";"II";16/02/2018;
"075809753";"29699142000170";"FRANCIELY M DA SILVA";"C";80,00;207.095,76;3.684.426,23;"NORMAL";"BEBIDAS";"ITAMBE";"I";16/02/2018;
"075809672";"29699130000146";"FABIO M. DA SILVA";"C";;1.018.273,30;;"NORMAL";"BEBIDAS";"ALTINHO";"II";16/02/2018;"SANDRA APARECIDA SOARES DA SILVA"
"075808781";"29697512000130";"DARLAN J. DA SILVA";"C";;949.920,35;;"NORMAL";"BEBIDAS";"JUPI";"II";16/02/2018;"SANDRA APARECIDA SOARES DA SILVA"
"075807548";"27469467000646";"FABIANO BERTO DE SOUZA SILVA EPP";"S";;;243.566,40;"NORMAL";"TECIDOS";"TAQUARITINGA DO NORTE";"II";16/02/2018;
